STANOX,LOCATION,STANME
42140,"CREWE STATION & HS",CREWE
42140,"CREWE UP & DOWN LOOP",CREWE
42141,"CREWE SOUTH YARD","CREWE SYD"
42142,"CREWE C.E.T. SIDINGS","CWE CET S"
42143,"CREWE NORTH STAFFS JN","CREWE NSJ"
42143,"CREWE WESTON GATE","CREWE NSJ"
42144,"CREWE DOWN REFUGE SIDING","CREWE DRS"
42144,"SIG. CE533","CREWE DRS"
42145,"CREWE CARRIAGE SIDINGS","CREWE CS"
42145,"CREWE CARRIAGE SIDINGS","CREWE CS"
42146,"CREWE SIGNAL CE551","CREWE 551"
42147,"CREWE SOUTH JN","CREWE SJN"
42148,"CREWE CARRIAGE SIDINGS (FLHH)",CREWECSFL
42149,"CREWE CARRIAGE SIDINGS",CREWECSWK
42150,"CREWE BASFORD HALL JN SIG BH20",BASFDHJ20
42151,"CREWE UP & DN POTTERY LOOP",CREWEUDPL
42152,"CREWE SORTING SDGS NTH SB","CREWE NSB"
42153,"CREWE GRESTY BRIDGE LOCO SD",GRESTYBMD
42154,"CREWE BASFORD HALL FP (FLHH)",BASFDHLFP
42155,"CREWE BASFORD HALL JN",CREWEBHJN
42156,"CREWE SIGNAL BH36",BASFDHL36
42157,"CREWE SIGNAL BH34",BASFDHL34
42158,"CREWE BASFORD HALL (FLHH)","BASFORD H"
42159,"CREWE BASFORD HALL",BASFDHALL
42159,"BASFORD HALL SS (MIDDLE)",BASFDHALL
42160,"CREWE GRESTY ROAD RECEPTION","GRES LNRC"
42161,"CREWE GRESTY ROAD FD","GRES CART"
42162,"CREWE GRESTY BRIDGE SIDINGS",GRESTYBGE
42163,"CREWE GRESTY ROAD SLEEPER DPT",GRESTYRSD
42164,"CREWE GRESTY ROAD (ISU S&TE)",GRESTYRD
42165,"CREWE GRESTY ROAD SPOIL SDGS",GRESTYRSS
42166,"CREWE GRESTY LANE","GRESTY LN"
42167,"CREWE GRESTY ROAD (SVC CENTRE)","GRESTY RD"
42168,"CREWE GRESTY LN PREFAB DP (FLT)",GRESTYLNE
42169,"CREWE GRESTY LANE SIGNAL GL37",GRESTYL37
42170,"CREWE GRESTY GREEN UP LOOP",CREWEGGUL
42171,"CREWE GRESTY GREEN",GRESTYGRN
42172,"NANTWICH STN",NANTWICH
42173,"WILLASTON LEVEL CROSSING",WILASTNLC
42174,"CREWE BAS HALL S.S.M. GBRF",CREWEBHGB
42175,"CREWE GRESTY GRN REPAIR POINT",GRESTYGN
42178,"CREWE PAD REPAIR POINT (FLHH)",CREWPADRP
42179,"CREWE SIGNAL CE543",CREWES543
42180,"CREWE SIGNAL NH19",CREWENH19
42181,"CREWE SIGNAL NH43/44",CREWENH43
42182,"CREWE SHUNTING NECK",CREWESNCK
42210,"REED'S FARM LEVEL CROSSING","REEDSF LC"
42211,"WRENBURY STN",WRENBURY
42215,"MARLEY GREEN LEVEL CROSSING",MARLEYGLC
42221,"WHITCHURCH (SALOP) STN",WHITCHRCH
42223,"DARLINGTON'S LEVEL CROSSING",DARLGTNLC
42226,"PREES STN",PREES
42231,"WEM STN",WEM
42241,"YORTON STN",YORTON
42300,"BETLEY ROAD","BETLEY RD"
42301,"MADELEY CHORD (STAFFS)","MADELEY C"
42302,"MADELEY (STAFFS)",MADELEY
42307,"SILVERDALE COLLIERY","SILVR COL"
42309,WHITMORE,WHITMORE
42310,"STANDON BRIDGE",STANDONBG
42312,"NORTON BRIDGE",NORTONBGE
42313,"GREAT BRIDGEFORD",GTBRIDGEF
42412,"ALSAGER STN",ALSAGER
42412,"EAST JUNCTION",ALSAGER
42413,"UP & DOWN GOODS LOOP",ALSGERUDG
42414,"BARTHOMLEY JN",BRTMLEYJN
43013,"CONGLETON STN",CONGLETON
43031,"KIDSGROVE STN",KIDSGROVE
43032,"KIDSGROVE SIG 587",KDSGRV587
43039,"BRADWELL JN SIG SOT564",BRADWJ564
43040,"BRADWELL JN",BRADWELLJ
43041,"LONGPORT (CARLESS)","LONGPRT C"
43042,"CHATTERLEY VALLEY DISPOSAL PNT",CHATVALLY
43044,"LONGPORT STN",LONGPORT
43045,"LONGPORT (ESSO)","LONGPRT E"
43046,"LONGPORT FREIGHT DEPOT",LONGPTDBS
43047,"LONGPORT DOWN SIDINGS",LONGPRTDS
43048,"LONGPORT FREIGHT DEPOT(DBS INT)",LONGPRT
43049,"LONGPORT UP SIDINGS",LONGPRTUS
43051,"LONGPORT FREIGHT DEPOT",LONGPTLHL
43111,"ETRURIA  (CORUS)",ETRURIABS
43112,"SHELTON MAINTENANCE POINT",SHELTON
43113,"ETRURIA STN",ETRURIA
43114,"GRANGE JN       ETRURIA","GRANGE JN"
43115,"GRANGE JN ETRURIA (WABTEC)",GRANGEJN
43116,"STOKE GRANVILLE SDGS",STOKGRANV
43205,"STOKE-ON-TRENT NORTH WEST END","STOKE N W"
43208,"STOKE-ON-TRENT CLIFFE VALE RP",STOKECVRP
43209,"STOKE-ON-TRENT LHS","STOKE LHS"
43210,"STOKE-ON-TRENT NORTH JN","STOKE NJN"
43211,"STOKE-ON-TRENT STN",STOKE
43212,"STOKE-ON-TRENT NEWCASTLE JN",NCASTLEJN
43213,"STOKE SIG 534","STOKE 534"
43214,"STOKE SIG 540","STOKE 540"
43215,"STOKE-ON-TRENT CLIFFE VALE","STOKE CV"
43216,"STOKE SIG 271","STOKE 271"
43217,"STOKE SIG 439","STOKE 439"
43218,"STOKE SIG 462","STOKE 462"
43219,"STOKE SIG 527","STOKE 527"
43220,"COCKSHUTE SIDINGS STOKE-O-T",CKSHTSDGS
43221,"STOKE CLIFFE VALE AXIOM",STOKECVAX
43222,"STOKE-ON-TRENT JN",STOKEOTJN
43223,"STOKE NORTH WEST YARD","STOKE NWY"
43224,"STOKE NORTH WEST YD REVERSE",STOKENWYR
43225,"STOKE-O-T VIADUCT SIDINGS","VIADUCT S"
43231,STOKE-ON-TRENT,"STOKE M"
43232,"LONGPORT TMD",LONGPTTMD
43302,"SIDEWAY LOOP STOKE-ON-TRENT",SIDEWYDPL
43303,"STONE MEAFORD SDGS",STONEMSDG
43304,TRENTHAM,TRENTHAM
43305,WEDGWOOD,WEDGWOOD
43306,BARLASTON,BARLASTON
43307,"STONE (ISU CE)","STONE CE"
43308,"STONE STN",STONE
43309,ASTON-BY-STONE,ASTONBYST
43310,SANDON,"SANDON S"
43311,"STAFFORD SALOP BRANCH",STAFSALBJ
43312,"STAFFORD NO.5 SIGNAL BOX",STAFFORD5
43313,"STAFFORD (UNIVERSAL ABRASIVES)","STAFORD U"
43314,"STAFFORD STN",STAFFORD
43315,"STAFFORD YARD","STAFFD YD"
43316,"STAFFORD FREIGHT DEPOT","STAFFD FD"
43317,"STAFFORD (LOMSLEY-EMS GRILLON)","STAFORD G"
43318,"STAFFORD (ISU S&TE)",STAFORDDS
43319,"STAFFORD NO.4 SIGNAL BOX",STAFFORD4
43320,"STAFFORD NORTH JN","STAFF NJN"
43321,"STAFFORD SALOP SIDINGS",STAFFDSAL
43322,"STAFFORD TRENT VALLEY JN","STAFF TVJ"
43322,"STAFFORD TRENT VALLEY JN","STAFF TVJ"
43323,"STAFFORD UP SDGS 1 &  2 ",STAFFUA12
43324,"WHITEHOUSE JN",WHITEHSEJ
43325,RICKERSCOTE,RICKRSCTE
43326,"MILFORD AND BROCTON",MILFORD&B
43327,"STAFFORD DOXEY JN",STAFDOXYJ
43328,COLWICH,COLWICH
43329,HIXON,HIXON
43330,"RUGELEY CE",RUGELEYCE
43331,"RUGELEY TRENT VALLEY STN",RUGELEYTV
43332,"RUGELEY TRENT VALLEY G.F.",RUGELEYGF
43333,"RUGELEY NORTH JN",RUGELYNJN
43334,"RUGELEY SOUTH JN",RUGELYSJN
43335,"ARMITAGE JN",ARMITAGE
43415,MILTON,MILTON
43417,ENDON,ENDON
43421,"LEEK BROOK",LEEKBROOK
43424,OAKAMOOR,OAKAMOOR
43425,"OAKAMOOR (BRIT SAND)",OAKAMOR
43430,"CALDON LOW",CALDONLOW
43431,"CALDON LOW (DBS)",CALDONLO
43432,"CALDON LOW (TARMAC)",CALDONQRY
43501,"LONGTON STN",LONGTON
43502,CAVERSWALL,CAVERSWLL
43503,"BLYTHE BRIDGE STN",BLYTHEBDG
43504,"CAVERSWALL SIGS CL24 CL5","CVRL24 5"
43505,"CRESWELL (STAFFS)",CRESWEL
43510,"LEIGH LEVEL CROSSING","LEIGH LC"
43515,"BRAMSHALL LEVEL CROSSING",BRAMSHALL
43604,"UTTOXETER ENGINEERS SDG",UTOXENGSD
43605,"UTTOXETER STN",UTTOXETER
43606,"UTTOXETER PINFOLD YARD",UTTXTRPYD
43607,"UTTOXETER SIGNAL BOX",UTTOXTRSB
43608,"UTTOXETER DOWN GOODS LOOP",UTTOXTDGL
44015,"STOW PARK","STOW PARK"
44017,"SAXILBY STN",SAXILBY
44025,"PYEWIPE JN",PYEWIPEJN
44027,"BOULTHAM JN",BOULTHMJN
44030,"WEST HOLMES JN",WHOLMESJN
44036,"LINCOLN GOODS LOOP","LINC GDLP"
44038,"LINCOLN CENTRAL STN",LINCLNCEN
44040,HOWSHAM,HOWSHAM
44041,HOLTON-LE-MOOR,HOLTONLEM
44042,"CLAXBY & USSELBY",CLAXBY&US
44043,"MARKET RASEN STN","MKT RASEN"
44044,WICKENBY,WICKENBY
44045,LANGWORTH,LANGWORTH
44046,"WELTON (LINCS)","WELTON BP"
44047,STAINTON,STAINTON
44049,"LINCOLN TERRACE SDGS",LINCOLNTS
44050,"LINCOLN TERRACE SDGS (FLHH)",LINCLNTER
44053,"PELHAM STREET*LINCOLN","PELHAM ST"
44068,"HYKEHAM STN",HYKEHAM
44071,THORPE-ON-THE-HILL,THORPEHIL
44073,"SWINDERBY STN",SWINDERBY
44077,"COLLINGHAM STN",COLLINGHM
44091,"BRANSTON & WASHINGBOROUGH",BRANTN&WB
44093,"METHERINGHAM STN",METHRNGHM
44094,SCOPWICK,SCOPWICK
44095,"RUSKINGTON STN",RUSKINGTO
44100,"BARKSTON EAST JN",BARKSTNEJ
44101,"ANCASTER STN",ANCASTER
44102,HONINGTON,HONINGTON
44105,"RAUCEBY STN",RAUCEBY
44113,"SLEAFORD STN",SLEAFORD
44114,"SLEAFORD SOUTH JN",SLEAFDSJN
44115,"SLEAFORD TAMPER SIDING",SLEAFRDTS
44116,"SLEAFORD UP SIDING",SLEAFRDUS
44200,"SLEAFORD EAST JN",SLEAFDEJN
44203,"HECKINGTON STN",HECKINGTN
44205,"SWINESHEAD STN",SWINESHED
44207,"HUBBERTS BRIDGE STN",HUBRTSBDG
44212,"BOSTON STN",BOSTON
44213,"BOSTON STATION SDGS","BOSTON SS"
44214,"BOSTON SLEAFORD SIDINGS",BOSTSLFDS
44215,"BOSTON DOCKS (LAFARGE)",BOSTLFR
44216,"BOSTON DOCKS",BOSTONDKS
44217,"BOSTON DOCKS COLAS",BOSTNDKCL
44218,"SIBSEY SIGNAL BOX","SIBSEY SB"
44219,"OLD LEAKE",OLDLEAKE
44221,"BELLWATER SIGNAL BOX",BELLWATER
44222,FIRSBY,FIRSBY
44223,"THORPE CULVERT STN",THORPECLV
44225,"WAINFLEET STN",WAINFLEET
44228,"HAVENHOUSE STN",HAVENHOUS
44231,"SKEGNESS STN",SKEGNESS
44301,"NEWARK CROSSING",NEWARKXNG
44302,"NEWARK CASTLE STN",NEWARKCSL
44303,"NEWARK CROSSING EAST JN",NEWKXNGEJ
44304,"NEWARK NORTH GATE STN",NEWARKNGT
44305,"NEWARK NORTH GATE SHUNT SDG",NEWKNGTSS
44306,"NEWARK NORTH GATE SDGS",NEWARKNGS
44307,"NEWARK SIG D83",NEWARKD83
44308,"NEWARK SIG NN4094",NEWRK4094
44309,"NEWARK CASTLE SIG NC5",NEWRKCSL5
44365,"CLAYPOLE DOWN AND UP LOOPS",CLAYPOLE
44379,"BARKSTON SOUTH JN",BARKSTNSJ
44419,"GRANTHAM FREIGHT DEPOT",GRANTMFD
44421,"GRANTHAM STN",GRANTHAM
44422,"GRANTHAM (ISU CE)",GTHMISU
44423,"GRANTHAM SIGNAL D1283",GRANTM283
44424,"GRANTHAM NORTH JN",GRANTMNJN
44425,"GRANTHAM*NOTTINGHAM BRANCH JN",NOTTNGBJN
44426,"GRANTHAM UP SDGS",GTHMUPSDG
44427,"GRANTHAM SUB SIGNAL 1281",GRANTM281
44505,"ALLINGTON EAST JN",ALLNGTEJN
44507,"ALLINGTON NORTH JN",ALLNGTNJN
44509,"ALLINGTON WEST JN",ALLNGTWJN
44511,"BOTTESFORD STN",BOTTESFRD
44512,"BOTTESFORD WEST JN",BOTTFDWJN
44514,"ELTON & ORSTON STN",ELTON&ORS
44517,"ASLOCKTON STN",ASLOCKTON
44650,"HIGHDYKE JN",HIGHDYKEJ
44998,"STOKE TUNNEL SIGNAL P612",STOKET612
44999,"STOKE JUNCTION",STOKEJUNC
45000,"LITTLE BYTHAM","L BYTHAM"
45001,ESSINDINE,ESSENDINE
45002,"TALLINGTON JN",TALLNGTNJ
45003,"TALLINGTON (LAFARGE)",TALNRED
45004,"TALLINGTON (DOWMAC)",TALLINGTN
45005,"KETTON (CASTLE CEMENT)","KETTON WS"
45006,KETTON,"KETTON SB"
45007,"TALLINGTON (GBRF)",TALLNGTGB
45008,"STAMFORD STN",STAMFORD
45009,"GREATFORD SIGNAL P552",GREATF552
45010,"UFFINGTON SIGNAL BOX","UFFGTN SB"
45011,"TALLINGTON JN       SIG P544",TALLTN544
45012,"LOLHAM SIGNAL P534",LOLHMP534
45013,"HELPSTON JN",HELPSTNJN
45014,"TALLINGTON SIG P544","TALN P544"
45015,"TALLINGTON SIG P534","TALN P534"
45016,"KETTON SIG K3","KETTON K3"
45017,"WERRINGTON JN       SIG P500",WERTJP500
45018,"WERRINGTON JN",WERRNTNJN
45019,"KETTON CEMENT","KETTON RP"
45028,"NEW ENGLAND NORTH JN",NENGLNDNJ
45029,"NEW ENGLAND NORTH P479",NENGLD479
45089,"PETERBOROUGH EASTFIELD SIG E44",PBOREFD44
45090,"PETERBOROUGH SIG P76","PBORO P76"
45091,"PETERBOROUGH SIGNAL P466",PBOROP466
45092,"PETERBOROUGH SIGNAL P468",PBOROP468
45093,"PETERBOROUGH SIGNAL P470",PBOROP470
45094,"PETERBOROUGH REPAIR PT (GBRF)",PBOROGBRP
45095,"PETERBOROUGH (GBRF)",PBOROGBVQ
45096,"PETERBOROUGH WEST YARD RDS 1&2",PBROWYC&W
45097,"PETERBOROUGH EASTFIELD JN",PBOREFLDJ
45098,"PETERBOROUGH SPITAL SIDINGS",PBOROSPTL
45099,"PETERBOROUGH SIGNAL P78","PBORO P78"
45100,"PETERBOROUGH YARDS","PBORO YDS"
45100,"PETERBOROUGH WESTWOOD SIDINGS","PBORO YDS"
45101,"PETERBOROUGH ELECTFN CONSTRN D",PBROISU
45102,"PETERBOROUGH WASHER",PBROWSHR
45103,"PETERBOROUGH FREIGHT TERMINAL","PBORO FT"
45104,"PETERBOROUGH (VIRTUAL QUARRY)","PBORO ECD"
45105,"PETERBOROUGH VIRTUAL QUARRY RP",PBOROVQRP
45106,"PETERBOROUGH STN",PETERBORO
45107,"PETERBOROUGH T&RSMD & SDGS",PBDBST&RS
45108,"PETERBOROUGH CRESCENT WHARF","PBORO CWF"
45109,"PETERBOROUGH EAST JN","PBORO EJN"
45110,"PETERBOROUGH CRESCENT WHF SDG",PBOROCWFS
45111,"PETERBOROUGH CRESCENT WHF CCD","PBORO CCD"
45112,"PETERBOROUGH MAINT DPT (GBRF)",PBOROSDGB
45113,"PETERBOROUGH (FLHH)",PBOROECFL
45114,"PETERBOROUGH FLYASH EXAM SDGS",PBOROFAEX
45115,"PETERBOROUGH WASHER RD GBRF",PBOROWRGB
45116,"PETERBOROUGH NORTH PLANT DEPOT","PBORO NTH"
45117,"PETERBOROUGH NENE SIDINGS",PBORONENE
45118,"PETERBOROUGH SUB SIGNAL S67","PBRO S67"
45119,"PETERBOROUGH SIGNAL P421/423",PBO421423
45119,"PETERBOROUGH SIGNAL P421",PBO421423
45120,"PETERBOROUGH SIG P800","PBORO 800"
45121,"PETERBOROUGH SIG 434","PBORO 434"
45140,"WANSFORD STN","YARWEL ML"
45141,"FLETTON STN",FLETTON
45144,"FLETTON JN",FLETTONJN
45150,"HOLME LEVEL CROSSING","HOLME LC"
45173,"CONNINGTON SOUTH JN",CONNGTNSJ
45175,"CONNINGTON TIP (FLHH)",CONNGTON
45176,"CONNINGTON TIP",CONNINGTN
45177,"CONNINGTON LOOP",CONNGTNLP
45185,"ABBOTTS RIPTON",ABBOTSRIP
45190,ALCONBURY,ALCONBURY
45198,"HUNTINGDON SIGNAL P33",HUNTDNP33
45199,"HUNTINGDON SIGNAL P40",HUNTDNP40
45201,"HUNTINGDON STN",HUNTINGDN
45203,"HUNTINGDON DOWN SIDINGS",HUNTGTNDS
45204,"HUNTINGDON SIG P38",HUNTDNP38
45205,"HUNTINGDON NORTH JN",HUNTGTNNJ
45305,OFFORD,OFFORD
45401,"ST NEOTS (DBS)",STNEOTDB
45401,"ST NEOTS SOUTH",STNEOTDB
45402,"ST NEOTS STN","ST NEOTS"
45403,"ST NEOTS SIG P21",STNEOTS21
45404,"ST NEOTS UP SDG",STNEOTSUS
45501,"LITTLE BARFORD SIDING","L BARFORD"
45501,"MONIER PRIVATE SIDING","L BARFORD"
45525,TEMPSFORD,TEMPSFORD
45601,"SANDY FREIGHT DEPOT","SANDY FD"
45603,"SANDY STN",SANDY
45604,"SANDY SOUTH POS LIGHT P1",SNDYPOSL1
45611,"BIGGLESWADE STN",BIGGLESWD
45612,"BIGGLESWADE (PLASMOR)",BIGGLSWDE
45614,"BIGGLESWADE CROSSOVER",BIGGLSWXO
46001,"SLEAFORD NORTH JN",SLEAFORDN
46003,"BLOTOFT SIGNAL BOX",BLOTOFT
46005,GOSBERTON,GOSBERTON
46014,"SPALDING STN",SPALDING
46015,"SPALDING UP SIDINGS",SPALDNGUS
46016,"QUADRING SIG WS7070",QUADG7070
46017,"QUADRING SIG WS7071",QUADG7071
46019,"SOUTH DROVE","STH DROVE"
46024,LITTLEWORTH,LITTLEWTH
46029,"ST JAMES DEEPING",STJAMESDP
46135,"KINGS DYKE",KINGSDYKE
46137,"WHITTLESEA DOWN SIDINGS",WHITSEADS
46138,"WHITTLESEA STN",WHITTLSEA
46138,"WHITTLESEA MISC FREIGHT",WHITTLSEA
46140,"THREE HORSE SHOES",THREHORSB
46142,"MIDDLE DROVE",MIDDLEDVE
46148,COLDHAM,COLDHAM
46150,WISBECH,WISBECH
46151,"WISBECH (SPILLERS)",WISBCH
46152,"WISBECH (METALS)",WISBCHMTL
46200,"WHITEMOOR L.D.C. (GBRF)",WHITEMOOR
46201,"WHITEMOOR JN       (GBRF)",WHITEMRJN
46202,"WHITEMOOR L.D.C.",WHTMORDBS
46203,"WHITEMOOR REPAIR POINT (GBRF)","WHTEMR RP"
46204,"MARCH DOWN YARD (GBRF)",MARCHDNYD
46205,"MARCH WEST JN","MARCH WJN"
46206,"MARCH STN",MARCH
46206,"MARCH SOUTH",MARCH
46207,"MARCH (VOLKERRAIL)","MARCH VR"
46208,"MARCH (ISU)","MARCH CE"
46209,"MARCH UP YARD","MARCH UYD"
46210,"MARCH UP YARD REPAIR POINT",MARCHUYRP
46211,"MARCH EAST JN","MARCH EJN"
46212,"MARCH DOWN YARD","MARCH DYD"
46214,STONEA,STONEA
46215,"MANEA STN",MANEA
46217,"THIRD DROVE",THIRDDRVE
46218,CHETTISHAM,CHETTISHM
46220,"KINGS LYNN STN",KINGSLYNN
46220,"F P",KINGSLYNN
46221,"KINGS LYNN CARRIAGE SIDING","K LYNN CS"
46222,"KINGS LYNN FREIGHT LOOPS","K LYNNLPS"
46222,"KINGS LYNN SIGNAL 29","K LYNNLPS"
46223,"KINGS LYNN JN","K LYNN JN"
46224,"KINGS LYNN SIG 43 ",KNGSLYN43
46225,"KINGS LYNN T.C. GBRF",KLYNNTCGB
46239,"MIDDLETON TOWERS",MIDDLTWRS
46240,"MIDDLETON TOWERS GBRF",MDDLTWRGB
46243,"KINGS LYNN HARBOUR","K LYNNHBR"
46248,"KINGS LYNN HARBOUR JN","K LYNN HJ"
46249,"BRANDON SIG EN8063",BRANDN063
46250,"THETFORD SIG EN8114",THETD8114
46251,"BRANDON SIG B19",BRANDON19
46252,"WATLINGTON STN",WATLNGTON
46253,"THETFORD SIGNAL T15",THETFDS15
46254,"DOWNHAM MARKET SIDING",DOWHMKTSD
46255,"DOWNHAM MARKET STN",DOWNHMMKT
46256,"THETFORD SIGNAL T7","THETFD S7"
46257,HILGAY,HILGAYAHB
46258,"THETFORD TAMPER SIDINGS",THETFDSDG
46259,"LITTLEPORT STN",LITTLEPRT
46260,"TWO MILE BOTTOM",TWOMILEBT
46261,"THETFORD STN",THETFORD
46262,"BRANDON UP REFUGE SIDINGS",BRANDNURS
46263,"BRANDON DOWN GOODS LOOP",BRANDNDGL
46264,"BRANDON STN",BRANDON
46265,"BRANDON FREIGHT DEPOT","BRANDN FT"
46266,"LAKENHEATH STN",LAKENHTH
46267,"ELY (FLT INTERMODAL)",ELYPAPWTH
46268,"SHIPPEA HILL STN","SHIPPEA H"
46269,"ELY (CAMBS)(DBS INT)","ELY  DBSI"
46270,"ELY WEST JN",ELYWESTJN
46271,"ELY (CAMBS) (POTTER GP)","ELY  PAPW"
46272,"ELY NORTH JN       (CAMB)","ELY NTHJN"
46273,"ELY (CAMBS)STN",ELY
46273,"GOODS LOOP",ELY
46274,"ELY (CAMBS) RECEPTION","ELY RECEP"
46274,"ELY RECEPTION","ELY RECEP"
46275,"ELY DOCK JN","ELY DK JN"
46276,SOHAM,SOHAM
46277,"CHIPPENHAM JN",CHIPPNHMJ
46278,FORDHAM,FORDHAM
46279,KENNETT,KENNETT
46280,"SNAILWELL (M PARRY DISPOSALS)",SNAILWEL
46281,"SNAILWELL (MAYER PARRY)",SNAILWELL
46282,KENNETT,KENNETTRS
46283,"KENNETT (FLHH)",KENETRSFL
46284,"KENNETT GROUND FRAME",KENNETTGF
46285,"HIGHAM (SUFFOLK)","HIHAM SFK"
46286,"ELY SIG CA259",ELY259
46287,SAXHAM,SAXHAM
46288,"SNAILWELL SDGS GBRF",SNAILWSDG
46289,"SNAILWELL GROUND FRAME 1182",SNAILGF82
46290,"ELY PAPWORTH SDGS GBRF",ELYPAPWGB
46291,"ELY NORTH SIG CA776 (GPL)",ELYNTH776
46301,"BURY ST EDMUNDS STN",BURYSTEDM
46302,"BURY ST EDMUNDS FREIGHT DEPOT","BSTED FD"
46303,"BURY ST EDMUNDS ISU","BSTED CE"
46304,"BURY ST EDMUNDS C&W","BURY C&W"
46305,"BURY ST EDMUNDS DN GOODS LOOP",BURYSTEDL
46306,"BURY ST EDMUNDS FGHT DPT (FLHH)",BURYSTEFD
46307,"BURY ST EDMUNDS FGHT DPT (GBRF)",BSTEDGBRF
46308,"BURY ST EDMUNDS SIG 19",BURYSTS19
46401,"THURSTON STN",THURSTON
46404,"ELMSWELL STN",ELMSWELL
47004,"NEWMARKET STN",NEWMARKET
47005,"SIX MILE BOTTOM",SIXMILEBT
47006,"DULLINGHAM STN",DULINGHAM
47007,"CHERRY HINTON",CHERRYHTN
47008,"FEN DRAYTON",FENDRAYTN
47009,FULBOURN,FULBOURN
47050,"DIMMOCKS COTE",DIMOCKSCT
47051,"WATERBEACH STN",WATERBECH
47099,"CHESTERTON JN YARD NORTH",CHESTRTEJ
47101,"CHESTERTON JCT WORKS CAMBRIDGE",CHESTRTNJ
47102,"CHESTERTON JN",CHSTRTNJ
47103,"CHESTERTON JN CAMBS (DICKERSON)",CHSTRTNJN
47104,"CHESTERTON JN CAMBS (DBS)",CHESTERTJ
47105,"CHESTERTON JN CAMBS (LAFARGE)",CHESNJRED
47106,"CHESTERTON JN CAMBS",CHESNJBAL
47107,"CHESTERTON JN CAMBRIDGE (GBRF)",CHESNJNGB
47201,"BARNWELL JN CAMBS",BARNWELLJ
47213,"COLDHAM LANE JN CAMBRIDGE",COLDHMLJN
47215,"CAMBRIDGE TMD",CAMBGETMD
47215,"RES CAMBRIDGE TMD:SPARE",CAMBGETMD
47217,"CAMBRIDGE (ISU S&TE)","CAMB STE"
47218,"CAMBRIDGE (ISU CE)","CAMB CE"
47220,"CAMBRIDGE RECEPTION ROADS",CAMBGEREC
47221,"CAMBRIDGE STN",CAMBRIDGE
47221,"CAMBRIDGE NORTH",CAMBRIDGE
47222,"CAMBRIDGE LOCO HOLDING SDGS",CAMBGELHS
47223,"CAMBRIDGE SOUTH JN","CAMBGE SJ"
47225,"CAMBRIDGE SIG 147",CAMBGS147
47225,"CAMBRIDGE SIGNAL 147",CAMBGS147
47226,"CAMBRIDGE SIG 180",CAMBGS180
47227,"CAMBRIDGE SIG 708",CAMBGS708
47228,"CAMBRIDGE SIG 149",CAMBGS149
47229,"CAMBRIDGE YARD (GBRF)",CAMBDGYGB
47230,"CAMBRIDGE YARD (DBS)",CAMBDGEYD
47231,"CAMBRIDGE YARD (FLT)",CAMBDGYFL
47232,"WHITTLEFORD SIG CA540",CAMBGS540
47233,"CAMBRIDGE COALFIELDS",CAMBCFLDS
47234,"CAMBRIDGE SIG 164",CAMBGS164
47238,"CAMBRIDGE ECD",CAMBDGECD
47239,"SHELFORD STN",SHELFORD
47240,"FOXTON (FLHH)(RUGBY CEMENT)",FOXTONFHH
47241,"FOXTON (RUGBY CEMENT)",FOXTONRPC
47242,"FOXTON STN",FOXTON
47243,"FOXTON DCR",FOXTONDCR
47244,"SHEPRETH STN",SHEPRETH
47248,"MELDRETH STN",MELDRETH
47250,"SHEPRETH BRANCH JN",SHEPBCHJN
47301,"WHITTLESFORD FREIGHT DEPOT",WHITLFDFD
47302,"DUXFORD WHITTLESFORD",DUXFORD
47303,"WHITTLESFORD PARKWAY STN",WHITTFDPW
47305,DUXFORD,DUXFRD
47311,"GREAT CHESTERFORD",GTCHESTFD
47312,"GREAT CHESTERFORD UGL",GTCHESTUG
47321,"AUDLEY END STN",AUDLEYEND
47322,"WHITTLESFORD DGL",WHITTFDGL
47331,"NEWPORT (ESSEX) STN",NEWPORTEX
47335,"ELSENHAM STN",ELSENHAM
47339,"STANSTED NORTH JN",STNSTDNJN
47340,"TYE GREEN JN","TYEGRN JN"
47341,STANSTED,STANSTDED
47342,"STANSTED MOUNTFITCHET STN",STANSTMFT
47342,"STANSTED MOUNTFITCHET",STANSTMFT
47343,"STANSTED DOWN GOODS LOOP",STANSTDGL
47344,"STANSTED AIRPORT STN",STANSTDAP
47345,"STANSTED SOUTH JN",STNSTDSJN
47346,"STANSTED EAST JN",STNSTDEJN
47347,"STANSTED COOPERS LANE JN",STNSTDCLJ
47348,"STANSTED APT SIG L1201",STNST1201
47349,"STANSTED APT SIG L1366",STNST1366
47350,"STANSTED AIRPORT SIG L1202",STNST1202
47411,"BISHOPS STORTFORD FGT DEPOT",BISHSFDFD
47412,"BISHOPS STORTFORD STN",BISHSTORT
47413,"BISHOPS STORTFORD CARRIAGE SDG",BISHSFDCS
47414,"BISHOPS STORTFORD UP LOOP",BISHSFDUL
47501,"BISHOPS STORTFORD (BARDON)",BSHPSCH
47521,"SAWBRIDGEWORTH STN",SAWBGEWTH
47600,"HARLOW MILL RECEPTION & RR",HRLWMILRR
47601,"HARLOW MILL (FOSTER YEOMAN)",HRLWMILL
47602,"HARLOW MILL (BARDON AGGREGATE)",HARLWMILL
47603,"HARLOW MILL STN",HARLOWMIL
47604,"HARLOW MILL REC (GBRF)",HRLWMILGB
47605,"HARLOW MILL (FLHH)",HRLWOMILL
47606,"HARLOW MILL DOWN GOODS LOOP",HARLWMDGL
47607,"HARLOW MILL AI GBRF",HRLWMAIGB
