STANOX,LOCATION,STANME
2000,"LNE TRA","LNE RTE"
2001,BURGHEAD,BGHDDCL
2002,"BURGHEAD (ROSEISLE)",ROSEISLE
2003,BURGHEAD,BURGHEAD
2004,"ALVES JUNCTION","ALVES JN"
2006,"ELGIN SB","ELGIN SB"
2007,"ELGIN STN",ELGIN
2008,"ELGIN YARD","ELGIN YD"
2009,ORBLISTON,ORBLISTN
2010,MULBEN,MULBEN
2011,DUFFTOWN,DUFFTOWN
2013,KEITH,KEITCHI
2014,"KEITH LOOP",KEITHLOOP
2015,"KEITH STN",KEITH
2016,KEITH,KEITMAC
2017,"KEITH FREIGHT DEPOT","KEITH FD"
2017,"KEITH YARD","KEITH FD"
2018,"KEITH STRATHISLA PLATFORM","KEITH STR"
2019,GRANGE,GRANGE
2020,ROTHIEMAY,ROTHIEMAY
2021,"HUNTLY STN",HUNTLY
2022,"HUNTLY YARD","HUNTLY YD"
2023,GARTLY,GARTLY
2024,KENNETHMONT,KENETHMNT
2028,"INSCH SIDING","INSCH SDG"
2029,"INSCH STN",INSCH
2030,PITCAPLE,PITCAPLE
2031,"INVERURIE STN",INVERURIE
2032,"INVERURIE (ISU)",INVURCE
2033,"INVERURIE DOWN SIDING","INVRIE DS"
2040,"BOAT OF KINTORE",KINTORE
2041,"PORT ELPHINSTONE",PTELPHINS
2041,"TAIT THOMAS & SONS MILL",PTELPHINS
2042,"DYCE STN",DYCE
2043,"DYCE RAITHS FARM F.D. DBS",DYCERFARM
2051,"PITMEDDEN LC",PITMEDDEN
2058,"SCATTER BURN IBS",SCATTERBN
2059,"KITTYBREWSTER GROUND FRAME",KTYBRWSGF
2060,KITTYBREWSTER,KTYBRWSTR
2061,"ABERDEEN WATERLOO GOODS","ABDN WLOO"
2062,"ABERDEEN WATERLOO GOODS",ABDNWLOOG
2067,"ABERDEEN NORTH SIDING","ABDN NSDG"
2069,"ABERDEEN PARCELS DOCK",ABERDENPD
2071,"ABERDEEN STN",ABERDEEN
2074,ABERDEEN,ABRDRSL
2075,"ABERDEEN CLAYHILLS","ABDN CLAY"
2076,"ABERDEEN GUILD STREET (GBRF)","ABDN G ST"
2077,"ABERDEEN HOLDING SIDINGS","ABDN HS"
2078,"ABERDEEN FERRYHILL SIGNAL A75","ABRD 75"
2079,"ABERDEEN FERRYHILL SIGNAL A77","ABRD 77"
2080,"ABERDEEN SIG A27","ABRD A27"
2081,"ABERDEEN FERRYHILL GOODS LOOP",FERRYHGLP
2082,"ABERDEEN FERRYHILL JUNCTION",FERRYHLJN
2083,"ABERDEEN FERRYHILL DOWN SDGS","ABFHIL DN"
2084,"ABERDEEN FERRYHILL G.L.","ABFHIL GL"
2086,"ABERDEEN FERRYHILL UP SDGS","ABFHIL UP"
2101,"ABERDEEN CRAIGINCHES","ABDN CRG"
2102,"ABERDEEN CRAIGINCHES",ABDNCHDRS
2104,"ABERDEEN CRAIGINCHES (FLHH)",ABDNCRGHC
2105,"ABERDEEN CRAIGINCHES","ABDN CRGC"
2106,"ABERDEEN CRAIGINCHES","ABDN CRGN"
2107,"ABERDEEN CRAIGINCHES SOUTH",ABDCRGSTH
2108,"CRAIGINCHES DOWN SDG LOOP",CRAIGNDSL
2109,"PORTLETHEN STN",PORTLETHN
2110,"COVE BAY","COVE BAY"
2111,NEWTONHILL,NEWTONHIL
2111,"NEWTONHILL U.R.S.",NEWTONHIL
2112,"NEWTONHILL REFUGE SIDING","NEWTNH RS"
2113,"STONEHAVEN STN",STONEHAVN
2114,"STONEHAVEN REFUGE SIDINGS","STNHVN RS"
2115,CARMONT,CARMONT
2116,"CRAIGINCHES C E",CRAIGINCE
2121,FORDOUN,FORDOUN
3000,"LNW TRA","LNW RTE"
3001,"LAURENCEKIRK STN",LAURENKRK
3002,"LAURENCEKIRK DOWN REFUGE SDG",LRNKRKDRS
3003,CRAIGO,CRAIGO
3004,"LAURENCEKIRK UP REFUGE SIDING",LRNKRKURS
3005,"CRAIGO CROSSOVER",CRAIGOCO
3006,"CRAIGO C.E.SIDINGS","CRAIGO CE"
3010,BRECHIN,BRECHIN
3013,"HILLSIDE MONTROSE",HILLSIDEM
3014,"MONTROSE STN",MONTROSE
3014,"MONTROSE DOWN THROUGH SIDING",MONTROSE
3015,"MONTROSE UP SIDINGS",MONTRSE
3017,"MONTROSE SOUTH",MONTRSTH
3018,USAN,USAN
3020,"INVERKEILOR DOWN REFUGE SDG",INVKLRDRS
3021,INVERKEILOR,INVRKEILR
3023,"ARBROATH STN",ARBROATH
3024,"ARBROATH DENS SIDING","ARBRTH US"
